代码	名称	涨幅%	现价	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	开盘换手Z	封成比	封单额	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	笔均量	笔换手	连涨天	3日涨幅%	20日涨幅%	60日涨幅%	年初至今%	换手Z	流通市值Z	市盈(TTM)	市盈(静)	贝塔系数	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	实体涨幅%	回头波%	攻击波%	现均差%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	存货(亿)	应收帐款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
300631	久吾高科	--  	17.35	--  	--  	--  	0	0	--  	--  	--  	--  	--  	17.35	    42.59	0	0.00	环境保护	江苏	0.00	17.35	0	0	--  	0	0	--  	0	--  	--  	--  	          0.70	         12.20亿	         18.31亿	  0.00	      0	--  	--  	5	2.67	-0.86	7.76	3.34	--  	         10.90亿	32.76	33.29	0.99	-- -- 				--  	--  	--  	0.00	--  	--  	--  	--  	20191210	20170323	          1.06	--  	--  	12.24	6.49	          0.10	46.10	8.73	1.14	0.53	5.31	1.62	2.88	1.75	2.91	1.69	0.42	0.01	0.42	0.37	0.32	0.27	3.60	0.15	1.61	10535.00	          5963	10.35万	2.84	7.73	          2.67	122.58	6.30	0.86	0.306㈢	          6.49	6.49	          1.66	          3.41	          0.14	         53.07	   4.97㈢	         41.79	         14.62	         11.09	0.15	363	300631	--  	--  	--  	
300625	三雄极光	0.00	17.17	0.00	17.17	17.17	0	0	--  	--  	--  	--  	--  	17.17	    23.30	0	  0.02	半导体	广东	0.00	17.17	0	0	--  	3	3	-1	5200	--  	--  	--  	          0.92	         15.85亿	         48.08亿	  0.00	      0	--  	--  	2	2.26	-3.65	11.35	5.21	--  	         15.75亿	23.43	26.67	1.00	-- -- 				0.00	--  	--  	0.00	--  	--  	--  	--  	20191030	20170317	          2.80	--  	--  	28.90	21.55	--  	25.44	22.94	3.54	1.28	7.06	4.07	5.35	12.08	17.96	11.85	1.82	0.23	1.81	1.55	1.55	1.25	6.01	1.58	0.21	27755.00	          3305	5.67万	19.24	2.22	          2.23	30.36	2.68	0.72	0.560㈢	          7.70	0.00	          4.32	          2.15	          0.57	         74.56	   7.18㈢	         34.02	         10.11	          8.62	0.46	4822	300625	--  	--  	--  	
300623	捷捷微电	0.00	45.42	0.00	45.42	45.42	0	0	--  	--  	--  	--  	--  	45.42	    76.69	0	  0.24	半导体	江苏	0.00	45.42	0	0	--  	185	185	5	840300	--  	--  	--  	          1.21	         54.90亿	        138.64亿	  0.00	      0	--  	--  	1	-3.98	32.54	103.95	72.57	--  	         44.55亿	82.11	83.69	1.04	-- -- 				0.00	--  	--  	0.00	--  	--  	--  	--  	20200221	20170314	          3.05	--  	--  	16.26	14.53	--  	10.61	9.45	3.70	0.50	1.49	1.18	1.73	5.93	4.65	2.52	1.62	0.00	1.63	1.36	1.36	1.31	5.43	1.54	-2.20	32679.00	          3001	13.63万	2.40	15.29	          8.43	90.11	29.81	0.39	0.510㈢	          5.39	5.39	          1.94	          1.78	          0.50	         89.39	   9.33㈢	         45.92	         34.88	         29.15	0.24	874	300623	--  	--  	--  	
300622	博士眼镜	--  	18.12	--  	--  	--  	0	0	--  	--  	--  	--  	--  	18.12	    40.14	0	0.00	其他商业	深圳	0.00	18.12	0	0	--  	0	0	--  	0	--  	--  	--  	          0.54	          9.85亿	         22.12亿	  0.00	      0	--  	--  	2	1.34	-7.93	-27.37	-6.79	--  	          9.85亿	39.24	37.30	0.86	温和放量上攻				--  	--  	--  	0.00	--  	--  	--  	--  	20191029	20170315	          1.22	--  	--  	6.35	5.14	          0.02	18.68	5.09	0.47	0.05	1.08	1.05	0.32	2.43	4.88	1.52	0.55	0.03	0.55	0.40	0.41	0.34	1.30	0.74	-1.09	6369.00	          8539	15.47万	-6.62	15.25	          4.30	29.86	4.53	1.97	0.340㈢	          4.21	0.00	          1.99	          1.07	          0.61	         81.01	   8.04㈢	         68.84	         11.28	          8.47	--  	1731	300622	--  	--  	--  	
300621	维业股份	--  	10.12	--  	--  	--  	0	0	--  	--  	--  	--  	--  	10.12	    20.46	0	0.00	装修装饰	深圳	0.00	10.12	0	0	--  	0	0	--  	0	--  	--  	--  	          0.66	          6.65亿	         21.07亿	  0.00	      0	--  	--  	2	1.10	-8.17	-2.50	-2.69	--  	          6.65亿	29.65	30.64	0.89	-- -- 				--  	--  	--  	0.00	--  	--  	--  	--  	20191227	20170316	          2.08	--  	--  	26.19	9.37	          0.36	62.84	23.28	1.14	0.14	16.40	1.13	16.27	2.95	18.55	15.80	0.90	0.01	0.90	0.77	0.77	0.75	3.86	0.33	0.76	14429.00	          4556	4.61万	3.05	6.79	          2.25	64.42	1.14	0.79	0.380㈢	          4.50	0.00	          1.42	          1.86	          0.16	         35.78	   8.25㈢	         14.82	          4.86	          4.17	0.51	867	300621	--  	--  	--  	
300613	富瀚微	0.00	211.00	0.00	211.00	211.00	0	0	--  	--  	--  	--  	--  	211.00	    91.38	0	  0.24	半导体	上海	0.00	211.00	0	0	--  	21	21	-1	443100	--  	--  	--  	          0.42	         88.40亿	         93.78亿	  0.00	      0	--  	--  	9	11.26	11.58	30.04	30.10	--  	         48.24亿	113.02	172.07	1.18	-- -- 				0.00	--  	--  	0.00	--  	--  	--  	--  	20200219	20170220	          0.44	--  	--  	12.20	11.31	         -0.01	7.43	9.31	1.81	0.19	0.80	1.15	1.39	6.64	3.73	2.35	0.62	0.51	0.71	0.70	0.77	0.45	3.99	-0.02	1.13	10391.00	          2200	46.43万	58.72	25.12	          8.19	-6102.98	25.13	0.06	1.732㈢	         25.77	25.77	         14.94	          8.98	         -0.03	         92.66	   6.81㈢	         37.13	         16.66	         20.62	1.05	274	300613	--  	--  	--  	
300611	美力科技	--  	9.32	--  	--  	--  	0	0	--  	--  	--  	--  	--  	9.32	    53.19	0	0.00	机械基件	浙江	0.00	9.32	0	0	--  	0	0	--  	0	--  	--  	--  	          1.15	         10.74亿	         16.68亿	  0.00	      0	--  	--  	5	2.65	-4.80	4.37	-3.12	--  	          6.93亿	98.80	83.72	0.90	温和放量上攻				--  	--  	--  	0.00	--  	--  	--  	--  	20200219	20170220	          1.79	--  	--  	11.00	6.71	         -0.06	39.61	5.45	3.44	0.67	2.87	1.54	1.84	2.60	4.03	2.84	0.26	0.00	0.26	0.22	0.24	0.22	2.14	0.66	0.51	12340.00	          6025	5.62万	-11.45	3.47	          2.49	25.09	4.14	0.54	0.131㈢	          3.75	0.00	          1.45	          1.20	          0.37	         60.98	   3.51㈢	         29.38	          6.50	          5.84	0.24	1052	300611	--  	--  	--  	
300610	晨化股份	--  	11.60	--  	--  	--  	0	0	--  	--  	--  	--  	--  	11.60	    19.48	0	0.00	化工原料	江苏	0.00	11.60	0	0	--  	0	0	--  	0	--  	--  	--  	          1.07	         12.38亿	         17.48亿	  0.00	      0	--  	--  	2	1.84	-5.15	0.96	-6.30	--  	         10.63亿	19.51	20.28	0.90	-- -- 				--  	--  	--  	0.00	--  	--  	--  	--  	20200221	20170213	          1.51	--  	--  	9.80	8.13	          0.30	14.06	6.78	1.55	0.76	1.11	0.93	0.88	2.79	5.99	4.49	0.80	0.05	0.75	0.67	0.67	0.57	3.10	0.85	-0.24	10400.00	          8815	10.23万	5.32	-0.27	          2.15	20.45	2.92	0.95	0.447㈢	          5.40	0.00	          1.85	          2.06	          0.57	         82.92	   8.28㈢	         25.03	         13.32	         11.24	0.19	681	300610	--  	--  	--  	
300608	思特奇	0.00	21.86	0.00	21.86	21.86	0	0	--  	--  	--  	--  	--  	21.86	   719.95	0	  0.30	软件服务	北京	0.00	21.86	0	0	--  	110	110	-228	240500	--  	--  	--  	          1.03	         22.42亿	         34.46亿	  0.00	      0	--  	--  	-1	8.49	20.97	35.27	28.14	--  	         14.47亿	40.19	40.39	1.26	-- -- 				0.00	--  	--  	0.00	--  	--  	--  	--  	20200221	20170213	          1.58	--  	--  	12.70	6.91	          0.02	45.49	9.22	0.71	0.11	5.75	2.74	3.23	2.31	4.49	2.25	-0.02	0.00	0.02	0.02	0.04	0.02	2.61	-0.04	-0.79	9878.00	          6701	14.65万	13.81	16.22	          4.99	-773.07	7.68	0.79	0.023㈢	          4.38	0.00	          1.47	          1.65	         -0.03	         54.36	   0.52㈢	         49.80	         -0.34	          0.80	1.16	2875	300608	--  	--  	--  	
300600	瑞特股份	0.00	9.24	0.00	9.24	9.24	0	0	--  	--  	--  	--  	--  	9.24	    28.30	0	  0.10	电气设备	江苏	0.00	9.24	0	0	--  	22	22	0	20300	--  	--  	--  	          2.06	         19.01亿	         27.99亿	  0.00	      0	--  	--  	2	-0.43	-9.14	-2.94	-7.51	--  	         12.83亿	29.16	25.84	0.91	-- -- 				0.00	--  	--  	0.00	--  	--  	--  	--  	20200211	20170125	          3.03	--  	--  	18.23	11.44	--  	37.27	13.76	3.47	0.52	6.78	2.32	4.25	3.67	3.57	2.00	0.86	-0.01	0.86	0.74	0.74	0.59	4.17	-0.62	-1.02	17107.00	          8115	7.50万	-14.24	5.20	          2.45	-45.07	7.85	1.08	0.440㈢	          3.78	0.00	          1.21	          1.38	         -0.20	         62.73	   6.49㈢	         43.82	         24.16	         20.80	0.16	580	300600	--  	--  	--  	
