代码	名称	涨幅%	现价	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	开盘金额	开盘换手Z	封成比	封单额	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	笔均量	笔换手	连涨天	3日涨幅%	20日涨幅%	60日涨幅%	年初至今%	换手Z	流通市值Z	市盈(TTM)	市盈(静)	贝塔系数	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	实体涨幅%	回头波%	攻击波%	现均差%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	存货(亿)	应收帐款(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	调整后净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
688118	普元信息	14.99	54.82	8.22	63.04	63.04	0	0	--  	--  	--  	--  	--  	54.82	--  	0	  3.98	软件服务	上海	0.00	54.82	0	0	--  	705	705	-304	4444300	--  	--  	--  	          0.22	         11.88亿	         52.30亿	  0.00	      0	--  	--  	1	-6.21	20.46	103.79	36.40	--  	         11.88亿	91.54	108.88	0.00	-- -- 				14.99	--  	--  	14.99	--  	--  	--  	--  	20191203	20191204	          0.95	--  	--  	4.06	3.26	--  	19.60	3.92	0.09	0.01	0.79	0.62	1.42	1.16	1.79	0.75	-0.04	0.00	-0.04	-0.02	-0.02	-0.05	1.19	-0.63	-0.15	21929.00	           988	5.42万	0.00	0.00	          5.74	-82.78	29.28	0.00	-0.020㈢	          9.55	9.55	          1.22	          1.25	         -0.66	         80.40	  -0.58㈢	         58.14	         -2.51	         -1.07	0.35	1114	688118	--  	--  	--  	
688298	东方生物	14.75	91.33	13.47	104.80	104.80	0	0	--  	--  	--  	--  	--  	91.33	   140.86	0	  3.34	生物制药	浙江	0.00	91.33	0	0	--  	688	688	-22	7210200	--  	--  	--  	          0.27	         24.90亿	        109.60亿	  0.00	      0	--  	--  	1	-8.20	329.79	329.79	329.79	--  	         24.90亿	144.05	167.66	0.00	-- -- 				14.75	--  	--  	14.75	--  	--  	--  	--  	20200204	20200205	          1.20	--  	--  	3.15	2.29	          0.04	26.31	2.17	0.50	0.10	0.74	0.72	0.77	0.28	2.62	1.39	0.65	0.00	0.66	0.55	0.58	0.53	0.99	0.31	-0.43	26553.00	          1027	9.38万	0.00	0.00	         14.06	351.59	41.79	0.00	0.486㈢	          6.49	6.49	          0.24	          0.83	          0.26	         72.49	  25.52㈢	         47.01	         24.94	         22.25	0.23	1028	688298	--  	--  	--  	
002480	新筑股份	10.11	4.35	0.44	4.79	4.79	0	0	--  	--  	--  	--  	--  	4.35	--  	0	  9.04	机械基件	四川	0.00	4.35	0	0	--  	7163	7163	415423	3431100	--  	58.00	198987616	          6.40	         27.84亿	         28.32亿	  0.00	      0	--  	--  	5	16.63	11.25	16.00	9.85	--  	         20.22亿	--  	215.02	0.90	EXPMA金叉				10.11	--  	--  	10.11	--  	--  	--  	--  	20191113	20100921	          6.51	--  	--  	78.52	22.25	          1.43	69.85	45.60	14.22	4.13	47.72	15.07	16.18	14.79	12.78	10.27	-1.41	0.17	-1.31	-1.15	-1.21	-1.44	0.47	-2.47	-2.33	34685.00	         13399	5.83万	-939.08	-2.48	          1.27	-11.45	2.22	0.00	-0.185㈢	          3.42	0.00	          2.27	          0.07	         -0.38	         28.33	  -5.43㈢	         19.63	        -11.03	         -9.45	0.31	2034	002480	--  	--  	--  	
002006	精功科技	10.10	5.25	0.53	5.78	5.78	0	0	--  	--  	--  	--  	--  	5.25	--  	0	 11.71	专用机械	浙江	0.00	5.25	0	0	--  	8587	8587	6574	4963300	--  	0.77	3799772	          4.55	         23.90亿	         23.90亿	  0.00	      0	--  	--  	2	6.27	5.85	21.25	12.66	--  	         14.83亿	--  	416.88	1.02	EXPMA金叉				10.10	--  	--  	10.10	--  	--  	--  	--  	20200103	20040625	          4.55	--  	--  	18.59	9.61	          0.09	47.83	12.58	4.17	0.42	8.87	4.21	3.11	2.70	6.47	5.33	-0.66	-0.06	-0.66	-0.68	-0.64	-0.74	1.31	-0.03	-0.40	41043.00	          6884	3.61万	-299.25	-11.73	          2.49	-757.57	3.69	0.00	-0.140㈢	          2.11	0.00	          0.59	          0.29	         -0.01	         51.67	  -6.65㈢	         17.53	        -10.21	         -9.88	0.30	1241	002006	--  	--  	--  	
002347	泰尔股份	10.09	4.56	0.46	5.02	5.02	0	0	--  	--  	--  	--  	--  	4.56	    85.11	0	 15.71	机械基件	安徽	0.00	4.56	0	0	--  	7148	7148	153316	3588300	--  	21.45	76964632	          3.17	         14.44亿	         20.38亿	  0.00	      0	--  	--  	6	7.29	0.22	5.31	1.11	--  	         11.50亿	86.78	101.62	0.88	-- -- 				10.09	--  	--  	10.09	--  	--  	--  	--  	20191104	20100128	          4.47	--  	--  	21.94	11.47	          0.10	47.29	17.03	2.47	0.60	10.02	5.60	5.63	4.90	6.18	4.38	0.26	-0.01	0.27	0.19	0.18	0.16	1.69	0.14	-0.59	37926.00	          6652	3.03万	23.60	16.74	          1.78	146.66	3.30	0.00	0.040㈢	          2.56	0.00	          1.10	          0.38	          0.03	         52.26	   1.57㈢	         29.15	          4.17	          2.91	0.35	984	002347	--  	--  	--  	
600707	彩虹股份	10.08	4.96	0.50	5.46	5.46	0	0	--  	--  	--  	--  	--  	4.96	--  	0	  5.82	元器件	陕西	0.00	4.96	0	0	--  	14149	14149	96197	7725400	--  	6.80	52523564	         12.88	         63.88亿	        177.98亿	  0.00	      0	--  	--  	2	18.10	18.66	28.17	18.10	--  	         31.74亿	--  	291.67	1.43	EXPMA金叉				10.08	--  	--  	10.08	--  	--  	--  	--  	20191030	19960520	         35.88	--  	--  	410.05	197.20	          1.76	51.48	88.02	221.61	22.08	80.62	8.33	15.56	205.00	40.86	47.51	-7.12	0.45	-6.99	-6.99	-7.00	-14.96	-45.99	-1.88	-26.18	56390.00	         11347	5.63万	-162.43	404.73	          0.90	-94.70	4.36	0.00	-0.195㈢	          5.50	0.00	          5.71	         -1.28	         -0.05	         48.09	  -3.55㈢	        -16.26	        -17.42	        -17.14	1.93	3497	600707	--  	--  	--  	
600156	华升股份	10.08	5.06	0.51	5.57	5.57	0	0	--  	--  	--  	--  	--  	5.06	--  	0	 29.60	纺织	湖南	0.00	5.06	0	0	--  	10953	10953	130964	6100800	--  	11.96	72946952	          4.02	         20.35亿	         20.35亿	  0.00	      0	--  	--  	2	10.24	13.96	24.32	13.20	--  	         12.14亿	90.18	73.69	1.27	KDJ金叉				10.08	--  	--  	10.08	--  	--  	--  	--  	20191024	19980527	          4.02	--  	--  	11.61	7.19	          0.12	37.01	6.77	1.08	1.35	3.78	1.87	1.42	1.48	7.46	7.16	-0.30	0.02	-0.30	-0.31	-0.26	-0.31	1.42	-0.38	-0.81	30255.00	          7933	4.01万	-23.61	9.46	          2.83	-53.61	2.73	0.00	-0.066㈢	          1.79	0.00	          0.37	          0.35	         -0.09	         61.93	  -3.68㈢	          3.98	         -4.02	         -3.54	0.06	1971	600156	--  	--  	--  	
600239	云南城投	10.07	2.88	0.29	3.17	3.17	0	0	--  	--  	--  	--  	--  	2.88	--  	0	  7.45	区域地产	云南	0.00	2.88	0	0	--  	5863	5863	75776	1858600	--  	12.92	24020992	         16.06	         46.24亿	         46.24亿	  0.00	      0	--  	--  	-1	5.49	-9.15	0.35	-0.35	--  	         26.87亿	--  	9.41	1.10	-- -- 				10.07	--  	--  	10.07	--  	--  	--  	--  	20191029	19991202	         16.06	--  	--  	887.41	44.18	         33.14	91.29	586.74	26.46	4.20	537.38	515.15	5.90	13.88	48.52	31.87	-12.78	0.14	-13.60	-12.36	-10.63	-10.39	5.78	-9.50	-4.73	50142.00	         18606	5.36万	-567.15	-30.61	          1.18	-4.87	0.95	3.19	-0.680㈢	          2.44	2.44	          0.86	          0.36	         -0.59	          4.98	 -24.06㈢	         34.33	        -26.35	        -21.91	--  	4087	600239	--  	--  	--  	
002297	博云新材	10.06	6.26	0.63	6.89	6.89	0	0	--  	--  	--  	--  	--  	6.26	--  	0	  5.00	矿物制品	湖南	0.00	6.26	0	0	--  	3807	3807	3298	2623000	--  	0.87	2272322	          4.70	         29.43亿	         29.50亿	  0.00	      0	--  	--  	2	1.13	-5.58	1.79	-2.49	--  	         18.78亿	418.69	109.00	0.93	-- -- 				10.06	--  	--  	10.06	--  	--  	--  	--  	20191024	20090929	          4.71	--  	--  	21.18	15.28	          0.21	26.85	11.57	4.97	1.72	3.91	3.54	1.75	11.47	2.69	2.09	-0.13	-0.12	-0.13	-0.15	-0.14	-0.28	-1.09	-0.27	-0.51	48596.00	          6173	3.86万	-325.16	-34.73	          1.93	-108.69	10.95	0.00	-0.029㈢	          3.24	0.00	          2.43	         -0.23	         -0.06	         72.14	  -0.91㈢	         22.40	         -4.81	         -5.15	0.12	624	002297	--  	--  	--  	
600160	巨化股份	10.06	7.95	0.80	8.75	8.75	0	0	--  	--  	--  	--  	--  	7.95	    18.38	0	  5.03	化工原料	浙江	0.00	7.95	0	0	--  	20509	20509	-6084	17945400	--  	--  	--  	         27.45	        218.24亿	        218.24亿	  0.00	      0	--  	--  	1	13.42	12.13	17.08	9.20	--  	         89.04亿	15.77	10.14	1.23	上穿BOLL上轨				10.06	--  	--  	10.06	--  	--  	--  	--  	20191025	19980626	         27.45	--  	--  	157.62	129.85	          3.18	15.60	74.61	50.30	7.49	21.31	11.10	5.81	45.49	113.11	93.63	10.76	0.97	10.90	9.11	8.91	6.76	50.82	12.61	-3.96	78547.00	         14258	11.34万	-46.32	-5.80	          1.68	17.30	1.93	1.89	0.324㈢	          4.73	0.00	          1.66	          1.85	          0.46	         82.39	   6.86㈢	         17.22	          9.52	          7.88	3.40	6620	600160	--  	--  	--  	
002255	海陆重工	10.06	4.87	0.49	5.36	5.36	0	0	--  	--  	--  	--  	--  	4.87	    47.14	0	 39.01	专用机械	江苏	0.00	4.87	0	0	--  	36005	36005	4852	19298700	--  	0.13	2600672	          6.44	         31.38亿	         41.02亿	  0.00	      0	--  	--  	6	33.06	51.24	52.66	52.66	--  	         29.90亿	--  	--  	1.12	价量齐升				10.06	--  	--  	10.06	--  	--  	--  	--  	20191025	20080625	          8.42	--  	--  	75.65	38.16	          1.61	47.43	51.33	14.63	1.60	32.46	11.55	17.72	21.57	18.14	14.68	0.89	0.05	0.83	0.54	0.65	0.37	7.17	-3.74	-3.08	46829.00	         13110	6.38万	-48.14	31.67	          1.07	-10.97	2.26	0.00	0.077㈢	          4.53	0.00	          2.56	          0.85	         -0.44	         50.44	   1.71㈢	         19.09	          4.90	          3.60	0.17	1315	002255	--  	--  	--  	
002559	亚威股份	10.06	6.76	0.68	7.44	7.44	0	0	--  	--  	--  	--  	--  	6.76	    29.86	0	  6.74	机床制造	江苏	0.00	6.76	0	0	--  	6560	6560	20	4880600	--  	0.00	14880	          4.76	         32.16亿	         37.63亿	  0.00	      0	--  	--  	-1	4.32	16.55	35.20	18.80	--  	         26.93亿	31.59	33.74	0.90	-- -- 				10.06	--  	--  	10.06	--  	--  	--  	--  	20191108	20110303	          5.57	--  	--  	28.55	15.91	          2.74	34.67	17.03	3.90	1.47	9.09	5.05	4.12	6.16	11.28	7.98	1.12	0.04	1.12	0.93	0.95	0.84	4.10	1.84	1.55	38563.00	         10332	6.98万	8.74	-1.07	          2.37	20.42	3.34	2.93	0.170㈢	          2.86	0.00	          1.11	          0.74	          0.33	         55.72	   5.94㈢	         29.32	          9.91	          8.38	0.77	1633	002559	--  	--  	--  	
002160	常铝股份	10.05	5.47	0.55	6.02	6.02	0	0	--  	--  	--  	--  	--  	5.47	   278.24	0	  5.14	铝	江苏	0.00	5.47	0	0	--  	13013	13013	37985	7833800	--  	2.92	22866970	          6.82	         37.33亿	         43.52亿	  0.00	      0	--  	--  	5	33.10	45.48	95.36	76.45	--  	         21.65亿	--  	--  	1.55	多头排列				10.05	--  	--  	10.05	--  	--  	--  	--  	20191023	20070821	          7.96	--  	--  	62.74	30.15	         -0.02	51.98	34.31	16.92	1.74	28.65	11.33	8.59	23.39	31.75	27.19	0.19	-0.01	0.19	0.11	0.12	0.08	-1.74	0.48	0.01	42815.00	          9246	5.06万	-56.79	7.79	          1.44	90.85	1.37	0.00	0.015㈢	          3.79	0.00	          2.94	         -0.22	          0.06	         48.05	   0.39㈢	         14.37	          0.60	          0.37	1.05	1456	002160	--  	--  	--  	
600416	湘电股份	10.05	9.55	0.96	10.51	10.51	0	0	--  	--  	--  	--  	--  	9.55	--  	0	 16.71	电气设备	湖南	0.00	9.55	0	0	--  	13238	13238	434598	13913101	--  	32.83	456762496	          9.46	         90.33亿	         90.33亿	  0.00	      0	--  	--  	5	33.18	45.36	59.43	33.75	--  	         60.03亿	--  	--  	1.29	顶部放量				10.05	--  	--  	10.05	--  	--  	--  	--  	20191029	20020718	          9.46	--  	--  	174.15	33.91	          5.31	77.48	112.52	16.88	7.09	125.09	20.48	48.74	48.47	42.00	38.25	-5.50	1.51	-8.78	-8.96	-8.97	-6.20	-26.14	-2.21	-9.60	28739.00	         21874	20.89万	-108.68	-7.15	          2.66	-40.95	2.15	0.00	-0.948㈢	          3.58	0.00	          5.12	         -2.76	         -0.23	         19.47	 -26.46㈢	          8.94	        -13.08	        -21.36	0.46	7564	600416	--  	--  	--  	
300153	科泰电源	10.05	6.17	0.62	6.79	6.79	0	0	--  	--  	--  	--  	--  	6.17	--  	0	 13.41	电气设备	上海	0.00	6.17	0	0	--  	2869	2869	-8398	1948100	--  	--  	--  	          3.17	         19.58亿	         19.74亿	  0.00	      0	--  	--  	2	3.17	-7.77	-1.44	-6.66	--  	          9.30亿	--  	109.41	0.88	-- -- 				10.05	--  	--  	10.05	--  	--  	--  	--  	20191028	20101229	          3.20	--  	--  	15.52	9.44	          0.04	38.94	9.13	2.52	0.40	5.63	2.11	4.12	4.95	7.27	5.92	-0.07	0.11	-0.03	-0.02	-0.02	-0.13	0.84	-0.31	-0.87	29429.00	          5122	3.16万	-112.98	-20.27	          2.09	-63.11	2.72	0.81	-0.007㈢	          2.95	0.00	          1.55	          0.26	         -0.10	         60.78	  -0.24㈢	         18.55	         -0.99	         -0.31	0.19	589	300153	--  	--  	--  	
002413	雷科防务	10.05	8.86	0.89	9.75	9.75	0	0	--  	--  	--  	--  	--  	8.86	    80.84	0	  1.64	通信设备	江苏	0.00	8.86	0	0	--  	8672	8672	-9118	8455200	--  	--  	--  	         10.37	         91.91亿	         95.79亿	  0.00	      0	--  	--  	8	21.87	55.44	71.71	62.87	--  	         66.73亿	80.60	70.29	0.94	多头排列				10.05	--  	--  	10.05	--  	--  	--  	--  	20200217	20100528	         10.81	--  	--  	43.14	35.17	          0.83	16.55	19.34	2.36	1.65	6.51	5.30	10.42	18.59	6.95	3.66	1.24	0.01	1.25	0.99	0.89	0.81	6.94	-2.13	-2.39	65442.00	         11509	10.20万	-16.40	9.64	          2.72	-44.98	13.78	0.00	0.082㈢	          3.25	0.00	          1.72	          0.64	         -0.20	         81.54	   2.53㈢	         47.34	         17.85	         12.78	0.49	1294	002413	--  	--  	--  	
002824	和胜股份	10.04	13.95	1.40	15.35	15.35	0	0	--  	--  	--  	--  	--  	13.95	   207.93	0	  8.66	铝	广东	0.00	13.95	0	0	--  	2911	2911	8549	4468400	--  	2.94	13122715	          1.06	         14.85亿	         25.61亿	  0.00	      0	--  	--  	13	33.11	16.54	36.36	28.45	--  	          6.97亿	1277.91	136.73	0.95	价量齐升				10.04	--  	--  	10.04	--  	--  	--  	--  	20200110	20170112	          1.84	--  	--  	13.81	7.68	          0.59	40.14	7.27	4.26	0.71	5.01	2.89	2.59	3.59	9.15	7.67	0.14	-0.00	0.14	0.11	0.09	0.09	2.11	1.23	0.07	16423.00	          3044	4.25万	-64.42	20.19	          3.33	20.91	2.80	0.15	0.050㈢	          4.18	4.18	          1.96	          1.15	          0.67	         55.60	   1.20㈢	         16.11	          1.52	          1.01	0.39	2606	002824	--  	--  	--  	
300064	豫金刚石	10.03	3.09	0.31	3.40	3.40	0	0	--  	--  	--  	--  	--  	3.09	    40.97	0	 16.74	矿物制品	河南	0.00	3.09	0	0	--  	7147	7147	23002	2430000	--  	3.22	7820680	          6.06	         18.71亿	         37.25亿	  0.00	      0	--  	--  	2	1.64	-6.93	-4.33	-6.36	--  	         11.37亿	--  	38.66	0.97	-- -- 				10.03	--  	--  	10.03	--  	--  	--  	--  	20200203	20100326	         12.05	--  	--  	93.02	69.88	          0.17	24.69	38.76	28.39	1.61	20.44	8.48	8.35	47.52	7.30	5.10	0.66	0.09	0.71	0.67	0.68	0.04	9.13	-11.54	-1.39	25016.00	         14714	4.55万	-64.24	-31.36	          0.53	-3.23	5.10	0.45	0.057㈢	          5.80	0.00	          3.94	          0.76	         -0.96	         75.13	   0.98㈢	         30.12	          9.03	          9.34	0.32	1895	300064	--  	--  	--  	
002908	德生科技	10.03	13.26	1.33	14.59	14.59	0	0	--  	--  	--  	--  	--  	13.26	    51.31	0	 12.20	元器件	广东	0.00	13.26	0	0	--  	3842	3842	11583	5605500	--  	3.01	16899598	          1.18	         15.61亿	         26.63亿	  0.00	      0	--  	--  	6	3.76	-3.70	0.91	3.27	--  	         13.15亿	34.15	36.90	1.03	-- -- 				10.03	--  	--  	10.03	--  	--  	--  	--  	20191113	20171020	          2.01	--  	--  	8.18	6.84	          0.00	16.28	7.86	0.21	0.02	1.32	0.94	3.36	3.09	2.92	1.55	0.48	0.02	0.48	0.39	0.39	0.34	1.53	-0.85	-1.84	26980.00	          3675	4.87万	17.55	10.37	          3.89	-31.35	9.12	1.01	0.194㈢	          3.41	0.00	          1.54	          0.76	         -0.42	         83.71	   5.69㈢	         47.05	         16.35	         13.33	0.40	876	002908	--  	--  	--  	
300169	天晟新材	10.03	6.88	0.69	7.57	7.57	0	0	--  	--  	--  	--  	--  	6.88	   221.43	0	  8.20	塑料	江苏	0.00	6.88	0	0	--  	6696	6696	96870	5068900	--  	14.47	73330592	          2.63	         18.07亿	         22.43亿	  0.00	      0	--  	--  	5	33.34	21.55	33.85	20.91	--  	         15.32亿	112.10	138.50	1.12	EXPMA金叉				10.03	--  	--  	10.03	--  	--  	--  	--  	20191029	20110125	          3.26	--  	--  	20.41	12.05	          0.00	40.94	11.62	3.58	1.48	6.87	3.68	4.76	8.29	6.71	4.92	0.05	-0.10	0.05	0.08	0.08	0.05	0.29	-0.74	-0.85	13936.00	         15976	10.99万	100.81	1.89	          1.86	-30.12	3.34	0.00	0.023㈢	          3.70	0.00	          2.54	          0.09	         -0.23	         59.05	   0.63㈢	         26.62	          0.71	          1.13	0.13	796	300169	--  	--  	--  	
002774	快意电梯	10.03	7.58	0.76	8.34	8.34	0	0	--  	--  	--  	--  	--  	7.58	  1933.79	0	 24.72	运输设备	广东	0.00	7.58	0	0	--  	2546	2546	148772	2123400	--  	58.43	124075848	          0.90	          6.81亿	         25.87亿	  0.00	      0	--  	--  	6	12.45	-1.81	-3.32	-0.92	--  	          6.81亿	57.92	36.06	0.79	-- -- 				10.03	--  	--  	10.03	--  	--  	--  	--  	20191120	20170324	          3.41	--  	--  	15.81	10.57	          0.01	33.06	13.16	1.17	0.69	4.76	3.41	1.88	4.30	5.14	3.80	0.02	0.12	0.03	0.01	0.01	-0.11	2.34	-0.29	-0.07	26528.00	          3387	2.57万	-96.43	-3.18	          2.45	-89.32	5.03	0.55	0.003㈢	          3.10	0.00	          1.26	          0.69	         -0.08	         66.88	   0.09㈢	         26.09	          0.43	          0.20	0.18	1392	002774	--  	--  	--  	
002838	道恩股份	10.02	22.35	2.24	24.59	24.59	0	0	--  	--  	--  	--  	--  	22.35	    53.75	0	  1.87	塑料	山东	0.00	22.35	0	0	--  	2955	2955	64599	7266300	--  	21.86	158848944	          3.36	         75.13亿	         90.97亿	  0.00	      0	--  	--  	1	11.09	98.14	110.85	109.07	--  	         26.71亿	56.28	74.31	0.01	阶段放量				10.02	--  	--  	10.02	--  	--  	--  	--  	20200103	20170106	          4.07	--  	--  	19.01	10.46	          0.63	41.62	12.86	3.90	1.04	7.23	2.87	4.54	0.49	19.94	16.58	1.54	0.00	1.51	1.35	1.27	1.22	5.45	1.79	0.27	7005.00	         17061	38.13万	44.72	148.45	          8.61	50.88	4.56	0.28	0.310㈢	          2.60	2.60	          0.12	          1.34	          0.44	         55.06	  12.13㈢	         16.85	          7.73	          6.37	0.67	963	002838	--  	--  	--  	
603059	倍加洁	10.02	25.75	2.58	28.33	28.33	0	0	--  	--  	--  	--  	--  	25.75	    22.10	0	 16.09	家居用品	江苏	0.00	25.75	0	0	--  	1110	1110	166	3144600	--  	0.15	470278	          0.25	          6.44亿	         25.75亿	  0.00	      0	--  	--  	2	3.12	-5.44	7.52	-8.69	--  	          6.44亿	24.60	27.27	1.26	-- -- 				10.02	--  	--  	10.02	--  	--  	--  	--  	20200211	20180302	          1.00	--  	--  	11.75	9.50	--  	19.12	7.06	2.68	0.24	2.09	1.23	1.39	5.10	6.03	4.46	1.10	0.19	1.13	0.87	0.87	0.79	3.17	0.82	-0.13	6800.00	          3676	9.47万	13.31	11.80	          2.71	31.30	4.27	0.34	0.980㈢	          9.50	0.00	          5.10	          3.17	          0.82	         80.88	   9.20㈢	         25.98	         18.25	         14.49	0.08	1861	603059	--  	--  	--  	
600883	博闻科技	10.02	10.38	1.04	11.42	11.42	0	0	--  	--  	--  	--  	--  	10.38	   253.40	0	 11.80	水泥	云南	0.00	10.38	0	0	--  	2715	2715	5728	3100500	--  	2.11	6541376	          2.36	         24.51亿	         24.51亿	  0.00	      0	--  	--  	6	10.91	2.47	73.58	35.86	--  	         13.19亿	338.05	227.95	1.23	-- -- 				10.02	--  	--  	10.02	--  	--  	--  	--  	20191031	19951208	          2.36	--  	--  	6.98	6.63	--  	5.04	3.41	0.11	0.02	0.11	0.11	0.01	0.08	0.20	0.21	0.07	0.15	0.07	0.07	0.07	0.00	2.73	-0.06	-0.67	12972.00	          9793	10.16万	-32.56	-18.49	          3.70	-435.04	121.69	0.19	0.031㈢	          2.81	0.00	          0.03	          1.16	         -0.02	         94.96	   1.09㈢	         -6.27	         35.65	         36.02	--  	98	600883	--  	--  	--  	
603876	鼎胜新材	10.02	17.47	1.75	19.22	19.22	0	0	--  	--  	--  	--  	--  	17.47	    29.63	0	  6.70	铝	江苏	0.00	17.47	0	0	--  	3689	3689	-1921	7090301	--  	--  	--  	          2.39	         41.80亿	         75.75亿	  0.00	      0	--  	--  	2	12.79	7.11	32.55	10.15	--  	         20.56亿	26.18	27.40	1.39	上穿BOLL上轨				10.02	--  	--  	10.02	--  	--  	--  	--  	20200103	20180418	          4.34	--  	--  	118.39	37.57	          0.71	67.66	79.18	24.03	1.40	59.03	20.76	17.00	17.79	83.51	76.46	2.54	-0.16	2.54	1.96	1.92	1.77	14.06	-2.51	1.01	27115.00	          4340	7.58万	7.22	7.97	          2.00	-30.23	0.91	0.57	0.450㈢	          8.74	8.74	          4.10	          3.24	         -0.58	         31.74	   5.10㈢	          8.44	          3.04	          2.30	0.43	3720	603876	--  	--  	--  	
603200	上海洗霸	10.02	28.95	2.90	31.85	31.85	0	0	--  	--  	--  	--  	--  	28.95	    42.24	0	  4.17	环境保护	上海	0.00	28.95	0	0	--  	892	892	14306	2841000	--  	16.04	45564612	          0.35	         10.08亿	         29.33亿	  0.00	      0	--  	--  	2	19.53	33.35	52.13	50.47	--  	         10.08亿	40.24	36.62	1.59	多头排列				10.02	--  	--  	10.02	--  	--  	--  	--  	20200103	20170601	          1.01	--  	--  	10.45	7.90	          0.33	21.28	8.59	0.31	0.23	2.20	0.65	2.72	3.87	3.82	2.52	0.59	0.03	0.59	0.51	0.52	0.47	2.80	-0.02	-0.32	7996.00	          4356	12.61万	-12.14	40.07	          3.71	-1197.86	7.67	0.84	0.514㈢	          7.79	0.00	          3.82	          2.77	         -0.02	         75.54	   6.59㈢	         34.17	         15.45	         13.61	0.25	826	603200	--  	--  	--  	
600458	时代新材	10.01	7.59	0.76	8.35	8.35	0	0	--  	--  	--  	--  	--  	7.59	   366.20	0	 10.47	塑料	湖南	0.00	7.59	0	0	--  	10970	10970	-490	9160000	--  	--  	--  	          8.03	         60.93亿	         60.93亿	  0.00	      0	--  	--  	6	16.06	5.12	13.96	7.66	--  	         30.21亿	--  	--  	1.19	顶部放量				10.01	--  	--  	10.01	--  	--  	--  	--  	20191121	20021219	          8.03	--  	--  	153.31	46.88	          0.75	68.93	94.14	28.30	5.42	76.88	21.22	30.17	30.57	79.97	66.46	0.34	0.13	0.44	-0.03	0.12	-0.22	8.13	-0.43	2.26	44113.00	          9024	6.85万	-85.44	-3.83	          1.30	-140.33	0.76	0.53	0.016㈢	          5.84	0.00	          3.81	          1.01	         -0.05	         30.58	   0.27㈢	         16.90	          0.42	          0.16	5.23	6889	600458	--  	--  	--  	
000004	国农科技	10.01	34.36	3.44	37.80	37.80	0	0	--  	--  	--  	--  	--  	34.36	--  	0	  5.16	生物制药	深圳	0.00	34.36	0	0	--  	1454	1454	76241	5496100	--  	52.44	288190976	          0.83	         28.38亿	         56.71亿	  0.00	      0	--  	--  	6	33.08	52.98	82.28	52.10	--  	         16.88亿	--  	--  	1.15	多头排列				10.01	--  	--  	10.01	--  	--  	--  	--  	20200119	19910114	          1.65	--  	--  	1.30	0.99	          0.18	9.53	0.91	0.01	0.00	0.12	0.00	0.19	0.01	1.08	0.26	-0.05	0.11	-0.06	-0.13	-0.10	-0.20	0.03	-0.10	-0.28	10321.00	          4759	16.35万	-283.56	-57.77	         29.07	-574.78	52.43	0.00	-0.120㈢	          1.18	1.18	          0.01	          0.02	         -0.06	         76.39	 -10.01㈢	         75.51	         -4.30	         -9.19	0.03	210	000004	--  	--  	--  	
002028	思源电气	10.01	17.58	1.76	19.34	19.34	0	0	--  	--  	--  	--  	--  	17.58	    24.43	0	  5.12	电气设备	上海	0.00	17.58	0	0	--  	4914	4914	271579	9503700	--  	55.27	525233792	          5.87	        103.24亿	        133.64亿	  0.00	      0	--  	--  	10	21.74	14.83	31.19	27.67	--  	         81.09亿	28.73	45.36	1.02	上穿BOLL上轨				10.01	--  	--  	10.01	--  	--  	--  	--  	20200221	20040805	          7.60	--  	--  	80.79	49.11	          1.49	37.36	61.13	5.17	1.68	29.91	15.37	28.10	0.66	42.03	29.52	4.58	-0.01	4.82	4.22	4.10	3.72	37.22	-0.10	-3.22	28377.00	         16254	28.57万	71.18	37.30	          2.63	-1312.15	3.18	0.57	0.540㈢	          6.68	6.68	          0.09	          4.90	         -0.01	         60.79	   8.35㈢	         29.77	         10.89	          9.76	2.36	5153	002028	--  	--  	--  	
